DomainName,CreationDate,ExpirationDate,RegistrarCountry,Secured,Servers,Type
 1188.wine, 2016-03-24, 2018-03-24, CN, unsigned, ns2.myhostadmin.net,ns
 1188.wine, 2016-03-24, 2018-03-24, CN, unsigned, ns1.myhostadmin.net,ns
 119.wine, 2016-03-16, 2019-03-16, CN, unsigned, ns5.myhostadmin.net,ns
 119.wine, 2016-03-16, 2019-03-16, CN, unsigned, ns6.myhostadmin.net,ns
 1199.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns2.myhostadmin.net,ns
 1199.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns1.myhostadmin.net,ns
 120.wine, 2016-03-24, 2018-03-24, CN, unsigned, ns4.myhostadmin.net,ns
 120.wine, 2016-03-24, 2018-03-24, CN, unsigned, ns3.myhostadmin.net,ns
 121.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns2.myhostadmin.net,ns
 121.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns1.myhostadmin.net,ns
 122.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns2.myhostadmin.net,ns
 122.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns1.myhostadmin.net,ns
 123.wine, 2016-01-27, 2021-01-27, CN, unsigned, ns5.myhostadmin.net,ns
 123.wine, 2016-01-27, 2021-01-27, CN, unsigned, ns3.myhostadmin.net,ns
 123.wine, 2016-01-27, 2021-01-27, CN, unsigned, ns2.myhostadmin.net,ns
 123.wine, 2016-01-27, 2021-01-27, CN, unsigned, ns4.myhostadmin.net,ns
 123.wine, 2016-01-27, 2021-01-27, CN, unsigned, ns6.myhostadmin.net,ns
 123.wine, 2016-01-27, 2021-01-27, CN, unsigned, ns1.myhostadmin.net,ns
 1234.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns5.myhostadmin.net,ns
 1234.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns6.myhostadmin.net,ns
 12345.wine, 2016-03-24, 2018-03-24, CN, unsigned, ns4.myhostadmin.net,ns
 12345.wine, 2016-03-24, 2018-03-24, CN, unsigned, ns3.myhostadmin.net,ns
 125.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns5.myhostadmin.net,ns
 125.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns6.myhostadmin.net,ns
 126.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns2.myhostadmin.net,ns
 126.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns1.myhostadmin.net,ns
 127.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns2.myhostadmin.net,ns
 127.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns1.myhostadmin.net,ns
 128.wine, 2016-01-27, 2019-01-27, US, unsigned, ns1.dreamhost.com,ns
 128.wine, 2016-01-27, 2019-01-27, US, unsigned, ns3.dreamhost.com,ns
 128.wine, 2016-01-27, 2019-01-27, US, unsigned, ns2.dreamhost.com,ns
 129.wine, 2016-03-16, 2021-03-16, CN, unsigned, ns4.myhostadmin.net,ns
 129.wine, 2016-03-16, 2021-03-16, CN, unsigned, ns3.myhostadmin.net,ns
 1299.wine, 2017-01-01, 2019-01-01, CN, unsigned, ns2.myhostadmin.net,ns
 1299.wine, 2017-01-01, 2019-01-01, CN, unsigned, ns1.myhostadmin.net,ns
 12bouteilles.wine, 2016-01-27, 2018-01-27, FR, unsigned, b.dns.gandi.net,ns
 12bouteilles.wine, 2016-01-27, 2018-01-27, FR, unsigned, a.dns.gandi.net,ns
 12bouteilles.wine, 2016-01-27, 2018-01-27, FR, unsigned, c.dns.gandi.net,ns
 12gradi.wine, 2016-01-26, 2018-01-26, IT, unsigned, ns1.register.it,ns
 12gradi.wine, 2016-01-26, 2018-01-26, IT, unsigned, ns2.register.it,ns
 130.wine, 2016-03-24, 2018-03-24, CN, unsigned, ns2.myhostadmin.net,ns
 130.wine, 2016-03-24, 2018-03-24, CN, unsigned, ns1.myhostadmin.net,ns
 131.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns4.myhostadmin.net,ns
 131.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns3.myhostadmin.net,ns
 132.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns5.myhostadmin.net,ns
 132.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns6.myhostadmin.net,ns
